ImageID,Image_Joy_agreement,Image_Trust_agreement,Image_Fear_agreement,Image_Surprise_agreement,Image_Sadness_agreement,Image_Disgust_agreement,Image_Anger_agreement,Image_Anticipation_agreement,Transcript_Joy_agreement,Transcript_Trust_agreement,Transcript_Fear_agreement,Transcript_Surprise_agreement,Transcript_Sadness_agreement,Transcript_Disgust_agreement,Transcript_Anger_agreement,Transcript_Anticipation_agreement
106,0.0,0.0,1.0,0.0,0.5,0.25,0.0,0.25,0.25,0.0,0.5,0.0,0.5,0.25,0.5,0.0
116,0.0,0.0,0.75,0.0,0.75,0.25,0.25,0.0,0.0,0.0,0.25,0.0,1.0,0.25,0.5,0.0
12,0.0,0.0,0.5,0.0,0.75,0.25,0.0,0.5,0.0,0.0,0.75,0.0,0.25,0.75,0.25,0.0
127,0.25,0.0,0.5,0.0,0.75,0.0,0.25,0.25,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0
127_v2,0.0,0.5,0.5,0.0,0.5,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.75,0.75,0.25,0.0
128,0.5,0.25,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.75,0.0,0.5,0.5
140,1.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.75,1.0,0.0,0.25,0.0,0.0,0.0,0.0
150,0.75,0.5,0.0,0.25,0.0,0.0,0.0,0.5,0.25,1.0,0.0,0.5,0.0,0.0,0.0,0.25
157,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25
161,0.75,0.0,0.5,0.0,0.25,0.0,0.0,0.5,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.5
162,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.75
167,0.75,0.5,0.0,0.5,0.0,0.0,0.0,0.25,1.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25
175,0.75,0.25,0.5,0.25,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.25,0.25,0.25,0.0,0.5
18,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.25,0.5,0.5,0.5
184,0.5,0.0,0.25,0.25,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.25,0.5,0.25,0.0,0.5
185,1.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.5,1.0,0.25,0.0,0.0
190,0.75,0.75,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.75,0.0,0.5,0.25
196,0.0,0.0,0.5,0.0,0.0,0.5,0.75,0.25,0.0,0.75,1.0,0.0,0.0,0.0,0.25,0.0
20,0.0,0.0,0.75,0.0,0.25,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.75,0.5,0.75,0.0
206,0.25,0.0,0.75,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,1.0,0.0
215,0.0,0.0,0.25,0.5,0.25,0.25,0.0,0.75,0.0,0.0,0.0,0.25,0.5,0.25,1.0,0.0
231,0.25,0.0,0.5,0.25,0.0,0.25,0.5,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
260,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.25
262,0.75,0.75,0.0,0.25,0.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
266,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
272,0.75,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.75,0.75,0.25,0.0
278,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.25
295,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.75
315,0.5,0.0,0.75,0.25,0.25,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.25
32,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.5,1.0,0.0
40,0.0,0.5,0.25,0.0,0.25,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0
47,0.25,0.0,0.75,0.25,0.25,0.0,0.25,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.25,0.0,0.5,1.0,0.25,0.0,0.0,0.25,0.0,0.25,0.75,0.75,0.0
52,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25
7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.25,0.0,0.0,0.0
82,0.0,0.0,0.5,0.5,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0
84,0.0,0.0,0.5,0.25,0.75,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.75,0.5,0.25,0.0
87,0.0,0.0,0.75,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.75,1.0,0.0
88,1.0,0.5,0.0,0.0,0.25,0.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.75,1.0,0.0,0.0,0.25,0.0,0.0,0.0
95,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.5,0.0,0.25,0.5
98,0.0,0.0,0.5,0.25,0.75,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.75,0.75,0.0
